"logFC"	"logCPM"	"PValue"	"FDR"
"ENSG00000031081.10"	3.64866675149571	6.7608330338616	2.12642893450653e-93	1.03016996127572e-91
"ENSG00000158352.15"	3.17246986299307	4.83880755332476	2.19766169293234e-93	1.05970425277424e-91
"ENSG00000078808.16"	1.93649572234866	7.34698295086771	6.06849890107732e-93	2.91259721675427e-91
"ENSG00000005238.19"	3.12339302465813	4.39684686988316	6.90402343680674e-93	3.29826934464855e-91
"ENSG00000135506.15"	1.61395054605253	8.47274206645729	8.34565740476692e-93	3.96861008109631e-91
"ENSG00000141934.9"	6.18274406910795	3.48012570869374	1.70208111873537e-92	8.05677755239921e-91
"ENSG00000058056.8"	-3.15094928613664	4.28828974766373	2.07731917025573e-92	9.78806233692644e-91
"ENSG00000110218.8"	1.54190363663241	5.95785222826435	2.22137878676251e-92	1.04192762275465e-90
"ENSG00000105971.14"	2.88115234099988	5.7828903898285	5.47077338203628e-92	2.55443034068925e-90
"ENSG00000198815.8"	1.74146071733267	7.37724271059736	8.15696663042681e-92	3.79151975943127e-90
"ENSG00000057294.14"	1.95197793577717	8.43308875998265	8.38187986222977e-92	3.87859274880489e-90
"ENSG00000117385.15"	2.48679904095246	7.1255210877672	9.27626534421804e-92	4.27329384316902e-90
"ENSG00000163346.16"	2.28564416163339	6.67072942901566	1.26964756171276e-91	5.82288586191733e-90
"ENSG00000072682.18"	3.97104777696725	6.00495163147517	1.91284033795157e-91	8.73389356076204e-90
"ENSG00000143537.13"	3.23451254261214	7.29992251924435	1.99178573401772e-91	9.05428942261183e-90
"ENSG00000092068.19"	-3.24226544835638	5.19166338977607	2.41941904682506e-91	1.09499934842929e-89
"ENSG00000134909.18"	-2.10436009774876	6.05392015310834	2.69888618670809e-91	1.21614875810659e-89
"ENSG00000131242.17"	-2.76238828065371	7.22334050183314	3.02936360763729e-91	1.35913056813953e-89
"ENSG00000164877.18"	3.41814124450303	3.96341456042076	3.88981739221508e-91	1.73762015888604e-89
"ENSG00000073008.14"	4.24010620109653	7.20590858032373	4.08542161078251e-91	1.81713213800279e-89
"ENSG00000214796.8"	-3.21056826701678	4.1437801167354	5.48254643262199e-91	2.42808569262774e-89
"ENSG00000123066.7"	2.49757744071375	7.90884559562831	8.34272461408957e-91	3.67899894413634e-89
"ENSG00000205413.7"	3.54857130271299	4.76763490043862	1.79656361093325e-90	7.88882548988093e-89
"ENSG00000204217.13"	1.60350324503918	6.80373714267179	2.09180347555955e-90	9.14632206114365e-89
"ENSG00000127838.13"	2.27423715430333	6.13932853493062	4.3529411094158e-90	1.89527423240767e-88
"ENSG00000102805.14"	2.60426656372492	6.23096271883176	2.08647023539786e-89	9.04633880633216e-88
"ENSG00000136213.9"	-2.58749663633275	4.27043542713093	2.22999897825335e-89	9.62818387305285e-88
"ENSG00000122779.17"	-1.4881213827329	6.22652504122287	4.80164541496325e-89	2.06450745987524e-87
"ENSG00000198382.8"	-1.72641563242389	5.53149618436061	6.65015955790055e-89	2.84742723975003e-87
"ENSG00000115956.9"	6.46785665457987	2.75262984331654	7.34458560773165e-89	3.13176772256954e-87
"ENSG00000130816.14"	-2.56679034229901	8.59990575216659	8.68337294588655e-89	3.68739610817298e-87
"ENSG00000074356.16"	-1.86532499958842	6.85825385999423	1.87754522343604e-88	7.94032342649039e-87
"ENSG00000130762.14"	4.00484297562124	6.59025930544305	2.70642029612981e-88	1.13990004227606e-86
"ENSG00000013375.15"	1.32319039426513	7.09028356812867	6.96859781440989e-88	2.92312848971121e-86
"ENSG00000204592.8"	2.00418691832425	8.48866425113757	1.09885867929535e-87	4.59073793993874e-86
"ENSG00000151135.9"	1.6679178378332	6.92391661162922	1.53219749184785e-87	6.37530077353952e-86
"ENSG00000163950.12"	-2.41188243264309	5.46808031666031	2.33278180891841e-87	9.66746003463015e-86
"ENSG00000116574.5"	1.8405880316855	7.45205621417268	2.47971306770734e-87	1.02352636582688e-85
"ENSG00000075790.10"	1.63135323952609	5.19517456851935	3.16518759042655e-87	1.30125779862994e-85
"ENSG00000068366.19"	2.8420933041753	7.86735833443886	3.80108243649143e-87	1.55648292310139e-85
"ENSG00000177225.16"	-1.60759594834613	4.89989988889738	3.89085522259635e-87	1.58694604908979e-85
"ENSG00000186907.7"	6.63276361145469	2.83759824280818	3.94448437041575e-87	1.60248559914646e-85
"ENSG00000155066.15"	-2.67479255076773	5.38545866166084	1.0107183275353e-86	4.09004016542616e-85
"ENSG00000137845.14"	1.87686986662295	8.05252164695597	1.31662920263421e-86	5.30714716483687e-85
"ENSG00000271383.6"	2.66691973418781	3.89491984409979	1.34673500186162e-86	5.40737684210508e-85
"ENSG00000113441.15"	1.64880628974968	7.46414590829576	2.14086369250757e-86	8.56262497790139e-85
"ENSG00000151422.12"	1.93242779517853	5.74718751334825	2.22903364484921e-86	8.88084871860965e-85
"ENSG00000163517.14"	-2.70634924321611	3.91295666248179	2.48003799825239e-86	9.84288927075633e-85
"ENSG00000017797.12"	2.95220764018296	8.46670181090763	3.12346563227812e-86	1.2349058183708e-84
"ENSG00000114554.11"	-3.10926688886929	7.32327265844655	3.22268500727691e-86	1.2692704805378e-84
"ENSG00000138674.16"	1.28289227013801	8.15252866807998	3.94384500744113e-86	1.54739683010589e-84
"ENSG00000081923.11"	-3.35771391543584	5.94734918382581	4.21502076248733e-86	1.6475302745495e-84
"ENSG00000099992.15"	1.58215072021191	5.48135628951046	4.99675180210704e-86	1.9457162960733e-84
"ENSG00000173457.10"	2.32221875130184	6.90212448947242	8.08550631199167e-86	3.1366293095279e-84
"ENSG00000122642.10"	1.42731647745913	6.53671102648229	1.18846263027131e-85	4.59316325159913e-84
"ENSG00000163430.11"	2.9753014078122	11.3206589054697	1.95346439841749e-85	7.52156683853363e-84
"ENSG00000177595.17"	-2.00386714596459	4.23821107880052	2.08575869966373e-85	8.00109443190706e-84
"ENSG00000107262.18"	-1.99099233665704	5.66326893317608	4.08560159685474e-85	1.56145640288682e-83
