Geneid,CTB_1st_717,CTB_1st_722,CTB_1st_732,EVT_1st_1026,EVT_1st_1087,EVT_1st_1089
ENSG00000204480.7,0,0,0,0,1,0
ENSG00000204479.4,0,1,0,0,0,0
ENSG00000204478.9,0,0,0,0,1,0
ENSG00000162494.5,0,1,0,0,0,0
ENSG00000259961.1,0,0,0,0,0,0
ENSG00000215909.3,0,0,0,0,0,0
ENSG00000162493.16,110,24,2,30,1,7
ENSG00000222952.1,0,0,0,0,0,0
ENSG00000237445.2,0,0,0,0,0,0
ENSG00000253085.1,0,0,0,0,0,0
ENSG00000116731.22,1461,1384,1749,1556,1070,1332
ENSG00000189337.16,305,418,485,499,532,448
ENSG00000252151.1,0,0,0,0,0,0
ENSG00000231606.1,0,0,0,0,0,0
ENSG00000234593.2,0,0,0,0,0,0
ENSG00000235829.1,0,0,0,0,0,0
ENSG00000175147.11,12,6,6,1,2,3
ENSG00000171729.13,95,81,166,29,31,28
ENSG00000204464.7,0,1,0,1,0,0
ENSG00000215720.4,0,0,0,0,0,0
ENSG00000278480.1,0,0,0,1,0,0
ENSG00000142621.19,0,6,5,19,6,9
ENSG00000233485.1,0,0,0,0,0,0
ENSG00000236045.1,0,0,0,0,0,0
ENSG00000228140.1,6,6,5,66,63,59
ENSG00000142634.12,1070,1627,1076,3183,4271,3668
ENSG00000162438.11,1,1,6,0,0,0
ENSG00000142615.7,0,1,1,0,0,0
ENSG00000215704.9,0,0,0,0,0,0
ENSG00000132906.17,527,509,613,288,321,325
ENSG00000116138.12,1414,1741,1720,1313,1243,1023
ENSG00000251866.1,0,1,1,0,1,5
ENSG00000272510.1,0,0,0,0,0,0
ENSG00000116771.5,7,8,3,0,1,0
ENSG00000237301.1,2,3,0,2,1,0
ENSG00000235084.3,25,42,35,27,23,17
ENSG00000252417.1,0,0,0,0,0,0
ENSG00000236500.1,3,0,0,0,0,0
ENSG00000197312.11,3421,3890,4678,2363,2596,2560
ENSG00000215695.1,0,0,0,0,0,0
ENSG00000271742.1,0,0,0,0,0,0
